I always see my teacher,나는 나의 선생님을 항상 봐,,
I always excercise in the morning,저는 항상 아침에 운동합니다,,
I listened,저는 들어봤어요,,
I ate,저는 먹었습니다,,
I will eat,저는 먹겠어요,,
I will learn,저는 배우겠습니다,,
I build a house,나는 집을 지어,,
I built a house,저는 집을 지었어요,,
I walk,저는 걸어요,,
I walked,저는 걸었어요,,
That is difficult,그것은 어려워요,,
That girl is cute,그 여자는 귀여워요,,
I helped my mother,저는 저의 어머니를 도왔어요,,
I did easy work,저는 쉬운 일을 했어요,,
I have soft hands,나는 부드러운 손이 있어,,
I like cold weather,저는 추운 날씨를 좋아해요,,
I locked the door,저는 추운 날씨를 좋아해요,,
I am busy,저는 바빠요,,
That girl is pretty,그 여자는 예뻐요,,
I am very sad,저는 아주 슬퍼요,,
That house is big,그 집은 커요,,
That thing is different,그것은 달라요,
That man is fast,그 남자는 빨라요,,
I called my sister,저는 저의 누나를 불렀어요,,
I crossed the long street,저는 긴 거리를 건넜어요,,
I went to a far off hospital,저는 먼 병원에 갔어요,,
I eat rice,저는 밥을 먹습니다,,
That room is wide,이 방은 넓습니다,,
I make a cake,저는 케이크를 만듭니다,,
That girl's hair is long,그 여자의 머리카락은 깁니다,,
